ID,Proveedor,Contacto comercial,Email,Teléfono, Saldo pendiente ,Fecha de última compra,
P0001,So Factive,Lorenzo Cantón Galan,fluffy@verizon.net,(394) 406-8708, 63.00 € ,04/09/2018,
P0002,Kontroller,Adelina Valls Canet,fraterk@me.com,(923) 207-3871," 4,250.00 € ",08/06/2012,
P0003,Finance Api,Eulalia del Galindo,animats@mac.com,(904) 363-2261," 2,412.00 € ",06/08/2017,
P0004,Biomotivate,Tania Catalán Galván,tbeck@icloud.com,(923) 671-4117," 3,348.00 € ",22/05/2017,
P0005,Deltavita,Abraham Girón-Soler,mallanmba@yahoo.ca,(841) 798-8943, 570.00 € ,17/01/2022,
P0006,Metta Statu_cru_lumarn,Erasmo Gibert Quevedo,kosact@sbcglobal.net,(559) 515-6369, 261.00 € ,02/09/2014,
P0007,Town Of Abus Road,Ana Belén Mayo Correa,bastian@aol.com,(715) 328-4811," 4,733.00 € ",26/02/2021,
P0008,Player,Valentina Enríquez Montalbán,lukka@mac.com,(953) 242-4312," 18,254.00 € ",06/01/2019,
P0009,Team Esports,Pastor Querol Verdugo,sjava@yahoo.com,(429) 355-6554," 2,128.00 € ",28/04/2018,
P0010,Team Impact,Andrés Saavedra Castelló,shawnce@me.com,(399) 380-2112, 310.00 € ,11/08/2012,
P0011,Alliancestudios,Juliana Márquez Huguet,moinefou@hotmail.com,(242) 702-4300," 3,536.00 € ",02/11/2020,
P0012,Modgugh,África Fernandez Calatayud,bebing@att.net,(479) 987-5028, 71.14 € ,14/10/2018,
P0013,Team Software,Carlito Domínguez Cortes,afifi@yahoo.com,(669) 494-0889," 5,258.00 € ",08/05/2017,
P0014,Bayesa,Heliodoro Baños Sainz,zavadsky@gmail.com,(495) 936-2371," 8,121.00 € ",13/03/2015,
P0015,Pubsearch,Arturo Ferrán Terrón,neonatus@yahoo.ca,(901) 585-8039, 211.00 € ,01/02/2022,
P0016,Teknosystems,Serafina Marcela Solano Alfaro,nichoj@yahoo.com,(243) 646-8371," 3,391.00 € ",09/06/2017,
P0017,Companyreo,María Pilar Jódar Gómez,kwilliams@icloud.com,(577) 722-8909," 5,752.00 € ",10/01/2021,
P0018,Upstream,Verónica Carmina Riba Criado,presoff@aol.com,(965) 536-3236," 4,332.00 € ",01/04/2014,
P0019,Zenitcom Solutions,Bernardita Royo León,samavati@yahoo.com,(970) 954-6303," 7,601.00 € ",05/08/2012,
P0020,Vuevitas,Carlito Peñas Prado,philen@verizon.net,(988) 713-8842, 607.00 € ,17/10/2021,
P0021,2gm Fuji,Inmaculada Aurora Cantero Peralta,sacraver@aol.com,(618) 384-8498," 8,231.00 € ",22/07/2012,
P0022,Wembo Mobile,Sebastian Carnero Uriarte,seano@hotmail.com,(727) 291-1259," 2,203.00 € ",13/11/2016,
P0023,Ijmall,Eusebia Peñalver Abellán,fudrucker@aol.com,(620) 870-4407," 1,635.00 € ",20/10/2018,
P0024,Goautomatch,Fermín Amor Piña,burns@aol.com,(588) 599-4372," 5,861.00 € ",11/12/2016,
P0025,Myvichco,Joaquín Duarte Lerma,jdhedden@live.com,(225) 424-7303," 2,021.00 € ",25/12/2011,
P0026,Every Good Good After Logo,Vilma de Rosado,maratb@att.net,(386) 943-6501, 351.00 € ,03/08/2013,
P0027,Grupo Labora,Gaspar Alsina Orozco,darin@hotmail.com,(253) 267-0135," 7,806.00 € ",23/05/2012,
P0028,The Other Side,Maricruz Tejedor Pons,alastair@verizon.net,(818) 803-6439," 1,089.00 € ",26/10/2021,
